desired_id,client_id,skill,title
1,304,"['Artificial Intelligence', 'Flask', 'Git', 'PyTorch']",Project304
2,578,"['Deep Learning', 'Python', 'Python', 'PyTorch']",Project578
3,763,['GitHub'],Project763
4,67,"['Business Analysis', 'Flask', 'Git']",Project67
5,297,"['Computer Vision', 'Python']",Project297
6,44,"['Artificial Intelligence', 'Business Intelligence', 'Deep Learning', 'Keras', 'Machine Learning']",Project44
7,206,"['Computer Vision', 'Deep Learning', 'Natural Language Processing (NLP)', 'PyTorch']",Project206
8,708,"['Algorithms and Data Structures', 'Artificial Neural Networks', 'Data Cleansing', 'PyTorch']",Project708
9,483,"['Data Cleansing', 'Scipy', 'Tensorflow']",Project483
10,873,"['Computer Vision', 'Data Cleansing', 'Deep Learning', 'Natural Language Processing (NLP)', 'Python', 'Tensorflow']",Project873
11,836,"['Artificial Intelligence', 'Data Analysis', 'Data Analysis', 'Machine Learning', 'Power BI', 'PyTorch']",Project836
12,559,"['Computer Vision', 'Data Analysis', 'Keras', 'Scipy']",Project559
13,508,"['Business Intelligence', 'Data Analysis', 'Deep Learning', 'Git', 'Keras', 'Natural Language Processing (NLP)', 'Scipy']",Project508
14,164,"['GitHub', 'Machine Learning', 'Matplotlib']",Project164
15,674,['Git'],Project674
16,861,"['Artificial Neural Networks', 'Business Analysis', 'Computer Vision', 'Data Cleansing', 'Deep Learning', 'Git']",Project861
17,1,"['Business Intelligence', 'Python']",Project1
18,492,"['Artificial Neural Networks', 'Reinforcement Learning']",Project492
19,984,"['Business Intelligence Engineering', 'Data Analysis']",Project984
20,397,"['Keras', 'Natural Language Processing (NLP)', 'Python', 'Tensorflow']",Project397
21,315,"['Business Analysis', 'Keras', 'Keras', 'Machine Learning', 'Matplotlib', 'Python']",Project315
22,156,"['Artificial Intelligence', 'GitHub']",Project156
23,544,"['Algorithms and Data Structures', 'Data Cleansing', 'Matplotlib', 'Matplotlib']",Project544
24,369,"['Business Intelligence Engineering', 'Git', 'Python', 'PyTorch']",Project369
25,985,"['Keras', 'Reinforcement Learning']",Project985
26,327,"['Business Intelligence', 'Keras', 'Keras']",Project327
27,773,"['Business Intelligence Engineering', 'Data Analysis', 'GitHub', 'Keras', 'Scipy']",Project773
28,299,"['Artificial Intelligence', 'Artificial Neural Networks', 'Machine Learning', 'Tensorflow']",Project299
29,787,"['Business Analysis', 'Data Analysis', 'Flask', 'Matplotlib']",Project787
30,80,['Matplotlib'],Project80
31,834,['Artificial Intelligence'],Project834
32,154,['Power BI'],Project154
33,63,"['Flask', 'Git', 'GitHub', 'Matplotlib', 'Power BI', 'PyTorch', 'Scipy']",Project63
34,641,"['Algorithms and Data Structures', 'Artificial Neural Networks', 'Matplotlib', 'Matplotlib', 'Power BI']",Project641
35,802,"['Power BI', 'PyTorch', 'Reinforcement Learning']",Project802
36,773,"['Data Analysis', 'Data Analysis']",Project773
37,474,"['Algorithms and Data Structures', 'Business Intelligence Engineering', 'Computer Vision', 'Natural Language Processing (NLP)', 'PyTorch']",Project474
38,794,['Data Warehousing'],Project794
39,36,"['Computer Vision', 'Power BI', 'Python']",Project36
40,739,['PyTorch'],Project739
41,33,"['Business Intelligence Engineering', 'Data Warehousing', 'Deep Learning', 'Git', 'Matplotlib']",Project33
42,240,"['Data Cleansing', 'GitHub', 'Machine Learning', 'Reinforcement Learning']",Project240
43,589,"['Business Analysis', 'Keras', 'Scipy']",Project589
44,289,['Reinforcement Learning'],Project289
45,474,"['Business Intelligence', 'Data Warehousing', 'Data Warehousing', 'Natural Language Processing (NLP)']",Project474
46,675,"['Artificial Neural Networks', 'Keras', 'Machine Learning', 'PyTorch']",Project675
47,263,"['Power BI', 'Python']",Project263
48,528,"['Business Analysis', 'Data Cleansing', 'Reinforcement Learning']",Project528
49,473,"['Artificial Intelligence', 'Business Intelligence', 'Data Warehousing', 'Machine Learning', 'Power BI']",Project473
50,716,"['Business Intelligence', 'Flask']",Project716
51,473,"['Artificial Neural Networks', 'Git', 'Power BI']",Project473
52,240,"['Artificial Neural Networks', 'Business Intelligence', 'Computer Vision', 'PyTorch']",Project240
53,484,"['Deep Learning', 'Natural Language Processing (NLP)']",Project484
54,113,"['Computer Vision', 'Computer Vision']",Project113
55,790,"['Computer Vision', 'Machine Learning', 'Matplotlib', 'Scikit-Learn', 'Scikit-Learn', 'Scikit-Learn']",Project790
56,858,"['Algorithms and Data Structures', 'Artificial Neural Networks']",Project858
57,615,['GitHub'],Project615
58,710,"['Machine Learning', 'Matplotlib', 'Power BI', 'Scipy']",Project710
60,350,"['Machine Learning', 'Scikit-Learn', 'Tensorflow']",Project350
61,27,"['Flask', 'Machine Learning']",Project27
62,692,"['Data Cleansing', 'Data Cleansing', 'Keras', 'Keras', 'Power BI', 'Scipy']",Project692
63,614,"['Deep Learning', 'Flask', 'Power BI', 'Scipy']",Project614
64,528,"['Artificial Neural Networks', 'Business Intelligence Engineering', 'Flask']",Project528
65,378,"['Data Analysis', 'Python']",Project378
66,501,"['Deep Learning', 'Reinforcement Learning', 'Scipy']",Project501
67,354,"['Algorithms and Data Structures', 'Artificial Neural Networks', 'Scikit-Learn', 'Scipy']",Project354
